gene,n_groups,F,pval,qval
Shfl,3,261.3915881346838,1.466798846465447e-101,1.7546887083821196e-100
Ppan,3,35.50178957275526,7.071941111478162e-16,1.1856273160351918e-15
Eif3g,3,9.243720901716134,0.00010091865264395465,0.0001147573111688253
Dnmt1,3,42.75174515138485,6.601436007981742e-19,1.2285725944625561e-18
Mrpl4,3,39.75387526412824,1.17473974557811e-17,2.099102535707587e-17
Icam5,3,551.6988177374678,1.766960607646224e-191,7.504965089619327e-190
Tyk2,3,56.3141015632593,1.613926869316577e-24,3.542908074368643e-24
Cdc37,3,32.537243670906356,1.2433839351573194e-14,1.9993206924637545e-14
Pde4a,3,614.9836125100916,7.872907146199373e-209,4.172640787485668e-207
Keap1,3,27.45811431106816,1.7223082626688508e-12,2.57196345974927e-12
Atg4d,3,74.19130974406997,8.317579959315999e-32,2.2416825050643826e-31
Kri1,3,37.783019561905924,7.832182028295981e-17,1.3579049768870432e-16
Cdkn2d,3,13.48264083367731,1.5266653625408418e-06,1.84715144112882e-06
Slc44a2,3,136.89937665284188,1.919192877638115e-56,9.715515439538464e-56
Ilf3,3,154.4382869835108,4.32209831842116e-63,2.5124644016000925e-62
Qtrt1,3,184.50640901814361,2.9609446887483584e-74,2.206229569428025e-73
Dnm2,3,79.93467674257535,4.021553445788784e-34,1.1567422488005021e-33
Tmed1,3,25.907850896775038,7.795756725608508e-12,1.135774763776356e-11
AB124611,3,0.5581794657067387,0.5723391706527344,0.5768822962011603
Carm1,3,79.60802004674068,5.442065304653898e-34,1.5609123779701415e-33
Yipf2,3,9.131410261647806,0.00011279831756491275,0.00012796756548313508
Timm29,3,22.34181032431502,2.5353373881991846e-10,3.5124176340661504e-10
Smarca4,3,198.71085186990504,1.9754148382749836e-79,1.6358904129464707e-78
Ldlr,3,2.409522396964411,0.09011940140655421,0.09291681494932723
Kank2,3,40.33873755709148,6.6947369179499894e-18,1.2047363895749981e-17
Dock6,3,135.53880670493146,6.354372185161745e-56,3.181100490230869e-55
Tmem205,3,44.30387747093979,1.4918106969999527e-19,2.8330226509470987e-19
Ccdc159,3,43.44164223546607,3.4073504785775183e-19,6.388127089181782e-19
Plppr2,3,374.6230098020855,7.017242247805099e-139,1.418576832516487e-137
Swsap1,3,5.702737208141685,0.0033913950732254454,0.003654300887706018
Rgl3,3,27.65126556752418,1.4271810751660252e-12,2.1362152880984584e-12
Odad3,3,39.21631652121106,1.9702423901273696e-17,3.4924028988879794e-17
Prkcsh,3,16.272556528947852,9.769818792162761e-08,1.2358004677437383e-07
Elavl3,3,341.82619711807087,2.134797864587188e-128,3.6860036783736294e-127
Zfp653,3,15.797449594080629,1.5594147240048205e-07,1.962145487780632e-07
