gene,n_groups,F,pval,qval
Kcnu1,2,76.79753900648922,2.1629536918934015e-18,2.8467748232419307e-18
Hgsnat,2,589.2419337336537,6.113731094368265e-127,1.978297360312018e-126
Pomk,2,190.279442533958,6.131281524832351e-43,1.0455351272071638e-42
Fnta,2,138.7556930411989,7.632885768237445e-32,1.1627803103704997e-31
Hook3,2,499.1193666521328,3.1256922944982524e-108,8.988019502215127e-108
Rnf170,2,443.35298828755145,1.4003188089060289e-96,3.7334505790342487e-96
Gm45692,2,125.84733727268652,4.7211443453088073e-29,6.970872259421178e-29
Thap1,2,38.076855106725155,7.033116776233777e-10,8.408542359475413e-10
Zfp703,2,37.09456445713154,1.1618065370326236e-09,1.3854780088711403e-09
Erlin2,2,28.967334402061958,7.507464915045566e-08,8.747761486187937e-08
Plpbp,2,1034.1137855815105,3.2254409778231057e-217,1.721587042937095e-216
Adgra2,2,0.5519564530415515,0.45753476902377055,0.4659733320152121
Brf2,2,82.50123443767824,1.2304356672866217e-19,1.643969519467047e-19
Rab11fip1,2,25.233034310899377,5.157754378589386e-07,5.942572983779323e-07
Eif4ebp1,2,100.98871029802513,1.1617464411792441e-23,1.619411355256937e-23
Unc5d,2,5570.462048021678,0.0,0.0
Dusp26,2,88.63603792841013,5.659266548346938e-21,7.676033628831234e-21
Rnf122,2,288.87406844873914,5.401482410235555e-64,1.111386505008176e-63
Tti2,2,96.4924105681483,1.103217600311007e-22,1.5203518192781493e-22
Mak16,2,375.87172972971257,2.1063543105757906e-82,5.036563449192315e-82
Fut10,2,132.4900904316696,1.7256383099202455e-30,2.589315232735736e-30
Nrg1,2,15838.162348805545,0.0,0.0
Wrn,2,514.5685674850909,1.8937628220510782e-111,5.566949615828143e-111
Purg,2,1307.0869502336027,5.34886146797773e-271,3.604113798661185e-270
Tex15,2,41.4524015958714,1.2565113439664414e-10,1.5141000706502385e-10
Ppp2cb,2,312.7469313566372,4.6321012246961126e-69,9.963968810177671e-69
Ubxn8,2,93.84132095155263,4.1632092848337874e-22,5.70551199810151e-22
Gsr,2,359.55918723369956,5.805619760860063e-79,1.3441884921002743e-78
Gtf2e2,2,180.5580878430787,7.510368918800497e-41,1.2519432003066136e-40
Smim18,2,217.1116694259693,1.0861489037269428e-48,1.9462137855463386e-48
Rbpms,2,316.6567993750892,6.871701658051875e-70,1.4852059717259614e-69
Dctn6,2,442.0341183277017,2.6453428200755918e-96,7.033536282620246e-96
Leprotl1,2,530.0013826299175,1.1681120459849195e-114,3.5012431669592115e-114
Saraf,2,530.0406856419125,1.1463454162392386e-114,3.4367592439183e-114
Dusp4,2,61.58316625629619,4.62521986068366e-15,5.865290010037979e-15
Tnks,2,703.9196609819573,1.5496511115876852e-150,5.795831690475527e-150
Eri1,2,93.03166868947643,6.246461995423897e-22,8.543288335263615e-22
Mfhas1,2,1209.8445243296694,5.639739716268095e-252,3.523929360891711e-251
Gm19410,2,1982.6330558921702,0.0,0.0
Prag1,2,64.20310203377912,1.2320449270855231e-15,1.5744212878202959e-15
Lonrf1,2,1144.9018920266574,3.455766380197506e-239,2.0401186661713567e-238
Trmt9b,2,2.6100856370827823,0.10621382942191919,0.1105854724356059
Dlc1,2,2865.438266714245,0.0,0.0
AI429214,2,13.44387951815038,0.00024692958322557104,0.000272706622645216
Sgcz,2,14877.205208513373,0.0,0.0
TUSC3,2,5713.90064286661,0.0,0.0
Micu3,2,2634.510106142816,0.0,0.0
Zdhhc2,2,2521.359721071224,0.0,0.0
Cnot7,2,1045.601574502474,1.6644365184907442e-219,8.989942611204082e-219
Vps37a,2,872.7526214790872,7.34747311940046e-185,3.304903140858803e-184
Mtmr7,2,3581.1393915265216,0.0,0.0
